job_title,category,clean_job_title
"Selbstständiger Versicherungsvertreter (m/w/d) zur Übernahme einer Allianz Agentur in der Region Baden-Baden, Sinzheim und Bühl",Sales,"['independent', 'insurance', 'agent', 'takeover', 'allianz', 'agency', 'badenbaden', 'sinzheim', 'bühl', 'region']"
Auszubildenden zum Kaufmann / Kauffrau im E-Commerce (m/w/d),Marketing and Communication,"['trainee', 'become', 'merchant', 'ecommerce']"
Mitarbeiter im Bereich Support (m/w/d),Sales,"['support', 'staff']"
Direktmarketing Spezialist/in (m/w/d),Marketing and Communication,"['direct', 'marketing', 'specialist']"
Vertriebsmitarbeiter / Verkäufer / Außendienstmitarbeiter / Area Sales Manager (m/w/d) Bauhandwerk,Sales,"['sale', 'representative', 'salesperson', 'sale', 'representative', 'area', 'sale', 'manager', 'building', 'trade']"
Cyber Security Analyst (m/w/d) Lvl 3,IT,"['cyber', '\u200b\u200bsecurity', 'analyst', 'lvl']"
Principal (SAP) OEM Manufacturing (m/w/d),IT,"['principal', 'system', 'application', 'product', 'original', 'equipment', 'manufacturer', 'manufacturing']"
Software Architect (m/w/d) - Architecture Program,IT,"['software', 'architect', 'architecture', 'program']"
App-Entwickler (m/w/d) iOS,IT,"['app', 'developer', 'io']"
Praktikum Customer Relationship Management (m/w/d),Marketing and Communication,"['internship', 'customer', 'relationship', 'management']"
(Senior) Cisco Network Engineer (m/w/d),IT,"['cisco', 'network', 'engineer']"
Anwendungsentwickler (m/w/d) Dokumentenmanagement & Archivierung,IT,"['application', 'developer', 'document', 'management', 'archiving']"
IT-Trainee (w/m/d),IT,"['information', 'technology', 'trainee']"
Java-Web-Entwickler (m/w/d) Authorization,IT,"['java', 'web', 'developmenteloper', 'authorization']"
Marktleiter (m/w/d),Sales,"['store', 'manager']"
Kaufmännische Sachbearbeiter (m/w/d),Sales,"['commercial', 'clerk']"
Product Manager (m/w/d) Bearings Region Süd,Marketing and Communication,"['product', 'manager', 'bearing', 'region', 'south']"
Außendienst-Verkäufer (m/w/d),Sales,"['field', 'sale', 'force']"
Cybersecurity Consultant / Architekt (w/m/d) mit Schwerpunkt Identity und Access Management,IT,"['cybersecurity', 'consultant', 'architect', 'focus', 'identity', 'access', 'management']"
Teamlead (m/f/d) Mobile Entwicklung,IT,"['teamlead', 'mobile', 'developmentelopment']"
Digital Marketing Manager (m/w/d),Marketing and Communication,"['digital', 'marketing', 'manager']"
IT Hardware Specialist (m/w/d),IT,"['information', 'technology', 'hardware', 'specialist']"
VMware Administratoren (m/w/d),IT,"['vmware', 'administrator']"
Netzwerkadministrator (m/w/d),IT,"['network', 'administrator']"
Medizinprodukteberater (m/w/d) als Kundenbetreuer im Bereich Anästhesie/Intensiv- oder OP-Pflege,Sales,"['medical', 'product', 'consultant', 'customer', 'advisor', 'field', 'anesthesia', 'intensive', 'care', 'surgical', 'care']"
Bankett- und Tagungsbetreuer (m/w/d),Marketing and Communication,"['banquet', 'conference', 'supervisor']"
Praktikant m/w/d Eventmanagement in Berlin,Marketing and Communication,"['intern', 'event', 'management', 'berlin']"
IT-Mitarbeiter (m/w/d) System- und Anwendungsbetreuung,IT,"['information', 'technology', 'staff', 'system', 'application', 'support']"
Vertriebsmitarbeiter (m/w/x) im Außendienst von digitalen Medien,Sales,"['sale', 'representative', 'field', 'digital', 'medium']"
IT-Consultant/Softwareentwickler (m/w/d),IT,"['information', 'technology', 'consultant', 'software', 'developer']"
Integration Engineer (f/m/d),IT,"['integration', 'engineer']"
"Verkäufer, Kaufmann im Einzelhandel, Gas- und Wasserinstallateur oder Anlagenmechaniker Sanitär, Heizung, Klima als Fachberater (m/w/d) Sanitär",Sales,"['salesperson', 'retail', 'merchant', 'gas', 'water', 'plumber', 'system', 'mechanic', 'plumbing', 'heating', 'air', 'conditioning', 'specialist', 'plumbing', 'consultant']"
Senior Consultant Smart Factory Software / Senior Berater MES (m/w/d),IT,"['consultant', 'smart', 'factory', 'software', 'consultant', 'me']"
Visual Merchandiser (m/w/d),Marketing and Communication,"['visual', 'merchandiser']"
Abteilungsleitung IT (m/w/d),IT,"['head', 'information', 'technology', 'department']"
SPS Programmierer / Inbetriebnehmer Automatisierungstechnik (m/w/d),IT,"['plc', 'programmer', 'commissioning', 'engineer', 'automation', 'technology']"
Digital Service Operations (w/m/d),IT,"['digital', 'service', 'operation']"
Microsoft SharePoint Administrator (m/w/d) remote,IT,"['microsoft', 'sharepoint', 'administrator', 'remote']"
Produktmanager (m/w/d) für internationalen Maschinenbau,Marketing and Communication,"['product', 'manager', 'international', 'mechanical', 'engineering']"
Vertriebsmitarbeiter (m/w/d) im Innendienst,Sales,"['sale', 'representative', 'office']"
Mitarbeiter (m/w/d) IT Lizenzmanagement und Asset Management,IT,"['employee', 'information', 'technology', 'license', 'management', 'asset', 'management']"
Enterprise Architect (m/f/d),IT,"['enterprise', 'architect']"
Anwendungsbetreuer Krankenhausinformationssystem (m/w/d),IT,"['application', 'supervisor', 'hospital', 'information', 'system']"
Vertriebstrainer als Leiter Filialvertrieb (m/w/d),Sales,"['sale', 'trainer', 'head', 'branch', 'sale']"
Junior Sales Manager (m/w/d),Sales,"['sale', 'manager']"
Key Account Manager (w/m/d) Schmerz / Cannabis,Sales,"['key', 'account', 'manager', 'pain', 'cannabis']"
Software Engineer CoreMedia und Digital Touchpoints (m/w/d),IT,"['software', 'engineer', 'coremedia', 'digital', 'touchpoints']"
Inhouse Consultant (m/w/d) IT Governance & Compliance,IT,"['inhouse', 'consultant', 'information', 'technology', 'governance', 'compliance']"
Systemspezialist (m/w/d) Entstörleitsystem,IT,"['system', 'specialist', 'interference', 'suppression', 'system']"
Junior Außendienstmitarbeiter (m/w/x) im Vertrieb von Werbung und digitalen Medien,Sales,"['sale', 'representative', 'advertising', 'digital', 'medium', 'sale']"
"Senior Manager Motorsport (m/w/d) Vertrieb, Marketing und CRM",Marketing and Communication,"['manager', 'motorsport', 'sale', 'marketing', 'customer', 'relationship', 'management']"
PR-Volontärin/Volontär (m/w/x),Marketing and Communication,"['public', 'relation', 'volunteer']"
Werkstudent als Data Scientist im Data & Analytics Competence Center (w/m/d),IT,"['working', 'student', 'data', 'scientist', 'data', 'analytics', 'competence', 'center']"
Bezirksleiter (m/w/d) im Außendienst,Sales,"['district', 'manager', 'field']"
(Junior) Order Manager (m/w/d) in eCommerce,Sales,"['order', 'manager', 'ecommerce']"
SAP Berater Pricing - Modul SD (m/w/divers),IT,"['system', 'application', 'product', 'consultant', 'pricing', 'module', 'sd']"
Informatiker (m/w/d) - Schwerpunkt C++/C#-Entwicklung,IT,"['computer', 'scientist', 'focus', 'c', '++', 'c', '#', 'development']"
Java Software Developer (m/f/d),IT,"['java', 'software', 'developer']"
Mitarbeiter (m/w/d) Vertrieb und Beratung Telekommunikationsleistungen,Sales,"['employee', 'sale', 'consulting', 'telecommunication', 'service']"
Head of Business Insights & Analytics (BI&A) Oncology / PAH (m/w/d),Marketing and Communication,"['head', 'business', 'insight', 'analytics', 'business', 'intelligencea', 'oncology', 'pah']"
"Immobilienkaufmänner, Immobilienmakler als Immobilienberater (m/w/d)",Sales,"['real', 'estate', 'agent', 'real', 'estate', 'agent', 'real', 'estate', 'consultant']"
"Auslandspraktikant (m/w/d) IT in Novi, USA",IT,"['international', 'information', 'technology', 'intern', 'novi', 'usa']"
ERP-Consultant m│w/d Automotive,IT,"['enterprise', 'resource', 'planning', 'consultant', 'm│w', 'automotive']"
Key Account Manager Urologie (m/w/d),Sales,"['key', 'account', 'manager', 'urology']"
ERP-Consultant m│w/d Technischer Großhandel,IT,"['enterprise', 'resource', 'planning', 'consultant', 'm│w', 'technical', 'wholesale']"
Senior C++ / Java Developer (m/w/d) - Köln,IT,"['c', '++', 'java', 'developmenteloper', 'cologne']"
EDI-Entwickler (w/m/d),IT,"['executive', 'directori', 'developer']"
Junior Software-Entwickler (m/w/d) Telekommunikation,IT,"['software', 'developer', 'telecommunication']"
Marktmanager (m/w/d) Landkreis Erlangen/Höchstadt,Sales,"['market', 'manager', 'district', 'erlangen', 'höchstadt']"
SAP Inhouse Consultant PP (S/4 HANA)*,IT,"['system', 'application', 'product', 'inhouse', 'consultant', 'pp', 'hana']"
Modeberater (w/m/d) in Voll- und Teilzeit (mind. 30 h /Woche),Sales,"['fulltime', 'parttime', 'fashion', 'consultant', 'least', 'hour', 'per', 'week']"
Senior Consultant (m/w/d) für innovative IT-Zahlungsverkehrs-Projekte gesucht!,IT,"['looking', 'consultant', 'innovative', 'information', 'technology', 'payment', 'project']"
Embedded-Software-Entwickler (m/w/d) Pharma / Medical,IT,"['embedded', 'software', 'developer', 'pharma', 'medical']"
Product Owner (m/w/d) Digital Business & Services,Marketing and Communication,"['product', 'owner', 'digital', 'business', 'service']"
(Senior) IT Consultants Microsoft (w/m/d),IT,"['information', 'technology', 'consultant', 'microsoft']"
IT Professional Mobile Devices (w/m/d),IT,"['information', 'technology', 'professional', 'mobile', 'developmentices']"
Sales Professional im Außendienst (m/w/d),Sales,"['sale', 'professional', 'field']"
Beschäftigte*r (d/m/w) mit abgeschlossener wissenschaftlicher Hochschulbildung in Informatik für die Abteilung Online-Dienste & IT-Entwicklung,IT,"['employee', 'university', 'degree', 'computer', 'science', 'online', 'service', 'information', 'technology', 'development', 'department']"
Mitarbeiter (m/w/d) Kundenbetreuung,Sales,"['employee', 'customer', 'care']"
Junior Marketing Manager (m/w/d),Marketing and Communication,"['marketing', 'manager']"
Systemberater*in Big Data Platform Services,IT,"['system', 'consultant', 'big', 'data', 'platform', 'service']"
"Produktmanager E-Commerce (m/w/d), Category Manager",Marketing and Communication,"['product', 'manager', 'ecommerce', 'category', 'manager']"
IT Automation Application Specialist (m/w/d),IT,"['information', 'technology', 'automation', 'application', 'specialist']"
Praktikum - Entwicklung einer Simulation für Touch-Displays,IT,"['internship', 'development', 'simulation', 'touch', 'display']"
Energieexperte - Vertrieb im Außendienst (in Festanstellung),Sales,"['energy', 'expert', 'sale', 'field', 'permanent', 'position']"
Key Account Manager Steuerungstechnik Europa (m/w),Sales,"['key', 'account', 'manager', 'control', 'technology', 'europe']"
CRM Manager: Re-Activation (m/f/d),Marketing and Communication,"['customer', 'relationship', 'management', 'manager', 'reactivation']"
Consultant (m/w/d) Business Intelligence Services,IT,"['consultant', 'business', 'intelligence', 'service']"
Advanced Expert IT Cost and Performance Management (m/f/d),IT,"['advanced', 'expert', 'information', 'technology', 'cost', 'performance', 'management']"
ProCare Vertragsspezialist im Bereich Medical (m/w/d) / ProCare Contract Specialist,Sales,"['procare', 'contract', 'specialist', 'medical', 'procare', 'contract', 'specialist']"
Praktikant (m/w/d) im Bereich Social Media,Marketing and Communication,"['intern', 'field', 'social', 'medium']"
Wirtschaftsvolontär (m/w/d),Marketing and Communication,"['business', 'trainee']"
Audi Automobilverkäufer Neuwagen (m/w/d),Sales,"['audi', 'car', 'salesman', 'new', 'car']"
MitarbeiterInnen für unseren Medizinisch-Wissenschaftlichen Ärzte und Apotheken- Außendienst,Sales,"['employee', 'medicalscientific', 'doctor', 'pharmacy', 'sale', 'force']"
Mitarbeiter der Verkaufsleitung (m/w/d),Sales,"['employee', 'sale', 'management']"
IT Support Ingenieur* First Level,IT,"['information', 'technology', 'support', 'engineer', 'first', 'level']"
Embedded-Software-Entwickler Automotive (m/w/d),IT,"['automotive', 'embedded', 'software', 'developer']"
SQL Spezialist (m/w/d),IT,"['structured', 'query', 'language', 'specialist']"
(Junior) Referent (m/w/d) für Informationssicherheit,IT,"['consultant', 'information', 'security']"
Sales Consultant mit dem Schwerpunkt Vertrieb von Softwarelösungen für die Chemieindustrie,Sales,"['sale', 'consultant', 'specializing', 'sale', 'software', 'solution', 'chemical', 'industry']"
Head of International Marketing Business Communication (m/f/d),Marketing and Communication,"['head', 'international', 'marketing', 'business', 'communication']"
Finanzierungsspezialist Fitness-Wirtschaft (w/m/d) Vertriebsaußendienst Leasing,Sales,"['financing', 'specialist', 'fitness', 'business', 'field', 'sale', 'force', 'leasing']"
Teamleitung - Online Marketing (m/w/d),Marketing and Communication,"['team', 'leader', 'online', 'marketing']"
(Junior) Business Consultant (w/m/d) Zahlungsverkehrssysteme,IT,"['business', 'consultant', 'payment', 'system']"
Managing Consultant Unified Communications (m/w/d),IT,"['managing', 'consultant', 'unified', 'communication']"
(Senior) Marketing Manager CRM (m/w/d),Marketing and Communication,"['marketing', 'manager', 'customer', 'relationship', 'management']"
Salesforce Trainer/in (m/w/x),Sales,"['salesforce', 'trainer']"
Systemadministrator (m/w/d) Server Services (Linux/Windows),IT,"['system', 'administrator', 'server', 'service']"
Technischer Mitarbeiter IT - Systemadministrator (m/w/d),IT,"['technical', 'employee', 'information', 'technology', 'system', 'administrator']"
IT Support Mitarbeiter 1st und 2nd Level (m/w/d),IT,"['information', 'technology', 'support', 'staff', 'st', 'nd', 'level']"
Embedded Softwareentwickler (m/w/d) Fahrerassistenzsysteme,IT,"['embedded', 'software', 'developer', 'driver', 'assistance', 'system']"
Berater Zahlungsverkehr / Digital Payments Sparkassen-Finanzgruppe (m/w/d),IT,"['advisor', 'payment', 'transaction', 'digital', 'payment', 'sparkassenfinanzgruppe']"
Junior IT-Consultant (m/w/d) für Servicekatalog- und Prozessmodellierung,IT,"['information', 'technology', 'consultant', 'service', 'catalog', 'process', 'modeling']"
Verkäufer/Kassierer (m/w/d),Sales,"['salesman', 'cashier']"
Customer Service Mitarbeiter (m/w/d),Sales,"['customer', 'service', 'employee']"
Microsoft 365 Technology Engineer (m/w/d),IT,"['microsoft', 'technology', 'engineer']"
Webentwickler/-in (w/m/d) Frontend / Backend,IT,"['web', 'developer', 'frontend', 'backend']"
Lead Architect (w/m/d) Big Data Plattform für Autonomes Fahren,IT,"['lead', 'architect', 'big', 'data', 'platform', 'autonomous', 'driving']"
"Automobilkaufmann, Bürokaufmann (m/w/d)",Sales,"['automobile', 'clerk', 'office', 'clerk']"
Digital Innovation Manager (m/w/d),IT,"['digital', 'innovation', 'manager']"
Digital Cross- and Upsell Campaign Manager (m/w/d),Marketing and Communication,"['digital', 'cross', 'upsell', 'campaign', 'manager']"
IT Servicemanager (w/m/d),IT,"['information', 'technology', 'service', 'manager']"
Bürokauffrau/-mann oder Bankkauffrau/-mann als Vertriebsassistenz (m/w/d) 15-20 Std./ Woche für unsere Filiale in Eschborn,Sales,"['office', 'clerk', 'bank', 'clerk', 'sale', 'assistant', 'hour', 'week', 'branch', 'eschborn']"
Agile Coach / Senior Scrum Master (m/w/d),IT,"['agile', 'coach', 'scrum', 'master']"
Berufseinstieg als Systemadministrator (m/w/d),IT,"['career', 'entry', 'system', 'administrator']"
Mitarbeiter Customer Service (m/w/d),Sales,"['customer', 'service', 'employee']"
Duales Studium zum Bachelor of Arts (m/w/d) in BWL-Handel Hanau,Sales,"['dual', 'study', 'bachelor', 'art', 'business', 'administration', 'hanau']"
"Vertriebsmitarbeiter im Außendienst für die Branchen Kfz, Industrie und Handwerk (m/w/d) - Mittel- und Südschwarzwald",Sales,"['sale', 'representative', 'field', 'automotive', 'industrial', 'craft', 'sector', 'central', 'southern', 'black', 'forest']"
Junior Product Owner (w/d/m),Marketing and Communication,"['product', 'owner']"
Franchise Center Manager (Geschäftsführer) (m/w/d),Sales,"['franchise', 'center', 'manager', 'managing', 'director']"
Werkstudententätigkeit im Bereich Risikomanagement / Risikosteuerung ab Februar 2020,IT,"['working', 'student', 'activity', 'area', '\u200b\u200brisk', 'management', 'risk', 'control']"
Consultant (w/m/d) Unternehmensberatung mit Schwerpunkt Wealth & Asset Management - Advisory (Financial Services),IT,"['consultant', 'management', 'consultancy', 'focus', 'wealth', 'asset', 'management', 'advisory', 'financial', 'service']"
Software Developer (m/w/d) CRM,IT,"['software', 'developmenteloper', 'customer', 'relationship', 'management']"
DWH Architect (m/f/d),IT,"['data', 'warehouseh', 'architect']"
Außendienst-Mitarbeiter (m/w/d),Sales,"['field', 'service', 'employee']"
Java-Entwickler (w/m/d) für Enterprise-Web-Anwendungen,IT,"['java', 'developer', 'enterprise', 'web', 'application']"
IT Administrator (m/w/d),IT,"['information', 'technology', 'administrator']"
Personalization & Conversion Expert (m/w/d),Marketing and Communication,"['personalization', 'conversion', 'expert']"
Technischer Systemplaner / Zeichner / CAD-Zeichner (w/m/d) im Bereich der Elektrotechnik,IT,"['technical', 'system', 'planner', 'draftsman', 'cactive', 'directory', 'draftsman', 'field', 'electrical', 'engineering']"
"Junior-Developer (ABAP-OO, SAP UI5) (m/w/div.) auch geeignet für SAP-QuereinsteigerInnen",IT,"['developmenteloper', 'abusiness', 'analystction', 'pointoo', 'system', 'application', 'product', 'user', 'interface', 'div', '.', 'also', 'suitable', 'system', 'application', 'product', 'career', 'changer']"
IT Windows Systemadministrator (m/w/d) - IT Administrator VoIP/Telefonie,IT,"['information', 'technology', 'window', 'system', 'administrator', 'information', 'technology', 'administrator', 'voice', 'internet', 'protocol', 'telephony']"
Mitarbeiter/-in Assistenz Marketing (m/w/d),Marketing and Communication,"['marketing', 'assistant']"
SAP Project Manager (m/f/d),IT,"['system', 'application', 'product', 'project', 'manager']"
(Senior) Digital Strategy Manager (m/f/d),IT,"['digital', 'strategy', 'manager']"
Gruppenleiter / Business Manager (m/w/d) für Softwareentwicklung in der Automobilindustrie,Sales,"['group', 'leader', 'business', 'manager', 'software', 'development', 'automotive', 'industry']"
Key Account Manager (m/w/d) in Voll- oder Teilzeit,Sales,"['key', 'account', 'manager', 'fulltime', 'parttime']"
Senior Softwareentwickler Web-Frontends Public Sector (m/w/d),IT,"['software', 'developer', 'web', 'frontends', 'public', 'sector']"
Software Engineer - Java / MongoDB (m/w/d),IT,"['software', 'engineer', 'java', 'mongodb']"
ERP Consultant mit Schwerpunkt Human Resources Management m/w/d,IT,"['enterprise', 'resource', 'planning', 'consultant', 'focus', 'human', 'resource', 'management']"
Werkstudenten für SEA / Digital Ads / Viral Marketing,Marketing and Communication,"['working', 'student', 'sea', 'digital', 'ad', 'viral', 'marketing']"
Key Account Manager Versorgungspartner (m/w/d) - GR08 Niedersachsen,Sales,"['key', 'account', 'manager', 'supply', 'partner', 'gr', 'lower', 'saxony']"
Spezialist (m/w/d) Testmanagement im Programm Large Scale Solution SAP S/4HANA,IT,"['specialist', 'test', 'management', 'large', 'scale', 'solution', 'system', 'application', 'product', 'hana', 'program']"
Mitarbeiter Kundenservice (m/w/d),Sales,"['customer', 'service', 'staff']"
Mitarbeiter Customer Service / Pricing mit SAP (m/w/d),IT,"['employee', 'customer', 'service', 'pricing', 'system', 'application', 'product']"
Mitarbeiter Kundenservice für den Bereich Kontokorrent (m/w/d),Sales,"['customer', 'service', 'staff', 'area', '\u200b\u200bcurrent', 'account']"
Sales Professional im Außendienst (m/w/d),Sales,"['sale', 'professional', 'field']"
Wirtschaftsinformatiker (m/w/d),IT,"['business', 'information', 'technology', 'specialist']"
Expert Data & Campaign Management (m/w/d),IT,"['expert', 'data', 'campaign', 'management']"
Projektmanager Customer Care Management (m/w/d),IT,"['project', 'manager', 'customer', 'care', 'management']"
Provider Manager / Service- & Suppliermanager (m/w/d) (Applikationen),IT,"['provider', 'manager', 'service', 'supplier', 'manager', 'application']"
Redaktioneller Junior SEO Experte (m/w/d) bei Chip,Marketing and Communication,"['editorial', 'search', 'engine', 'optimization', 'expert', 'chip']"
Microsoft Windows Server Active Directory Engineer (w/m/d),IT,"['microsoft', 'window', 'server', 'active', 'directory', 'engineer']"
Media Relations Manager*in / Pressesprecher*in,Marketing and Communication,"['medium', 'relation', 'manager', 'press', 'officer']"
Junior Business Development Manager (m/w/d),Sales,"['business', 'development', 'manager']"
Kundenbetreuer (m/w/d),Sales,"['account', 'manager']"
Duales Studium Bachelor of Science (w/m/d) - Fachrichtung Wirtschaftsinformatik 2020,IT,"['dual', 'study', 'bachelor', 'science', 'majoring', 'business', 'informatics']"
Mitarbeiter (m/w/d) im technischen Vertriebsinnendienst,Sales,"['employee', 'technical', 'sale', 'department']"
Mitarbeiter (m/w/div.) First Level Support,IT,"['employee', 'div', '.', 'first', 'level', 'support']"
.NET Full-Stack-Softwareentwickler (m/w/i),IT,"['.net', 'fullstack', 'software', 'developer']"
DEV/OPS-Engineer Web (m/w/d),IT,"['dev', 'opsengineer', 'web']"
Asset IT Data Architect (m/w/d),IT,"['asset', 'information', 'technology', 'data', 'architect']"
IT-Administrator (m/w/d),IT,"['information', 'technology', 'administrator']"
IT Consultant Netzwerk (m/w/d),IT,"['information', 'technology', 'consultant', 'network']"
Customer Service Agent (m/w/d),Sales,"['customer', 'service', 'agent']"
Ausbildung zum Fachangestellten für Medien- und Informationsdienste (w/m/d),IT,"['training', 'become', 'specialist', 'medium', 'information', 'service']"
Senior Consultant IT Compliance Insurance (m/w/d),IT,"['consultant', 'information', 'technology', 'compliance', 'insurance']"
Duales Studium Wirtschaftsinformatik in Kooperation mit der DHBW Stuttgart,IT,"['dual', 'study', 'business', 'informatics', 'cooperation', 'dhbw', 'stuttgart']"
Fachberater Fliesen (m/w/d),Sales,"['expert', 'advisor', 'tile']"
Werkstudent* Marketing Excellence - befristet,Marketing and Communication,"['working', 'student', 'marketing', 'excellence', 'temporary']"
Ausbildung - Fachinformatik Systemintegration (m/w/d),IT,"['training', 'information', 'technology', 'system', 'integration']"
Referent der Geschäftsführung (m/w/d),Sales,"['assistant', 'management']"
Berater Informationssicherheit (m/w/d),IT,"['information', 'security', 'consultant']"
Prozess- und Systemverantwortlicher im Bereich Logistik (m/w/d),IT,"['process', 'system', 'manager', 'field', 'logistics']"
Leiter IT-Management – Technischer Support (m/w/d),IT,"['head', 'information', 'technology', 'management', 'technical', 'support']"
Sales Representatives (m/d/w) Convenience oder Grocery,Sales,"['sale', 'representative', 'convenience', 'grocery']"
Key-Account-Manager (m/w/d),Sales,"['key', 'account', 'manager']"
SAP-Consultant* - Modul PP,IT,"['system', 'application', 'product', 'consultant', 'module', 'pp']"
"Key Account Manager (m/w/d) Vertrieb Handwerk - Lüneburg, Soltau, Ülzen, Rotenburg (Wümme)",Sales,"['key', 'account', 'manager', 'sale', 'craft', 'lüneburg', 'soltau', 'ülzen', 'rotenburg', 'wümme']"
wavespace support specialist (f/m/d) Global IT Services,IT,"['wavespace', 'support', 'specialist', 'global', 'information', 'technology', 'service']"
Mitarbeiter (m/w/d) Zentraler Benutzer Service First-Level-Support,IT,"['employee', 'central', 'user', 'service', 'firstlevel', 'support']"
Shipping and Logistics Expert (m/f/d) User Support ERP,IT,"['shipping', 'logistics', 'expert', 'user', 'support', 'enterprise', 'resource', 'planning']"
Kaufmann für Büromanagement (m/w/d) mit Schwerpunkt IT-Betreuung,IT,"['office', 'management', 'clerk', 'focus', 'information', 'technology', 'support']"
Vertriebsmitarbeiter im Außendienst (m/w/d),Sales,"['sale', 'representative', 'field']"
Infrastructure Architect (m/w/d),IT,"['infrastructure', 'architect']"
Kundenbetreuer (w/m/d),Sales,"['account', 'manager']"
Junior Projektmanager (m/w/d) Betreuung technischer Veranstaltungen,Marketing and Communication,"['project', 'manager', 'supervising', 'technical', 'event']"
Data-Analyst (m/w/d) Business Intelligence,IT,"['data', 'analyst', 'business', 'intelligence']"
Teamlead Algorithm Engineering (m/w/d),IT,"['teamlead', 'algorithm', 'engineering']"
Praktikant*in IT Projektmanagement für Kundenprojekte,IT,"['internship', 'information', 'technology', 'project', 'management', 'customer', 'project']"
IT-Service Desk Agent (m/w/d),IT,"['information', 'technology', 'service', 'desk', 'agent']"
Systemadministrator (m/w/d) für den 2nd Level Support,IT,"['system', 'administrator', 'nd', 'level', 'support']"
Softwarearchitekt (m/w/d) Cloud-Native-Betrieb,IT,"['software', 'architect', 'cloud', 'native', 'operation']"
Werkstudent Online Marketing & klassisches Marketing (m/w/d),Marketing and Communication,"['working', 'student', 'online', 'marketing', 'classic', 'marketing']"
(Senior) Social Media Manager (m/w/d),Marketing and Communication,"['social', 'medium', 'manager']"
Head of Performance Marketing (m/w/d),Marketing and Communication,"['head', 'performance', 'marketing']"
Key Account Manager w/m/d,Sales,"['key', 'account', 'manager']"
Head of Sales (m/w/d),Sales,"['head', 'sale']"
Mitarbeiter Marketing & Communications (m/w/d),Marketing and Communication,"['marketing', 'communication', 'employee']"
(Senior) Consultant Integrated Business Planning (SAP IBP) (w/m/d),IT,"['consultant', 'integrated', 'business', 'planning', 'system', 'application', 'product', 'ibp']"
Mitarbeiter (m/w/d) im telefonischen Kundenservice für die BMW Welt am Standort München,Sales,"['employee', 'telephone', 'customer', 'service', 'bmw', 'welt', 'munich']"
Java Entwickler (m/w/d) Smart Home,IT,"['java', 'developer', 'smart', 'home']"
Zentrale/r Anwendungstechniker_in mit Schwerpunkt Seminarwesen (m/w/d),Sales,"['central', 'application', 'technician', 'focus', 'seminar']"
Netzwerktechniker / IT-Systemtechniker als IT-Administrator (m/w/d),IT,"['network', 'technician', 'information', 'technology', 'system', 'technician', 'information', 'technology', 'administrator']"
MS Dynamics NAV Entwickler (m/w/d),IT,"['m', 'dynamic', 'nav', 'developer']"
Aushilfe (m/w/d) im Service Team,Sales,"['temporary', 'job', 'service', 'team']"
Mediaberater (m/w/d) Radio,Sales,"['medium', 'consultant', 'radio']"
IT Tool Manager (m/w/d),IT,"['information', 'technology', 'tool', 'manager']"
Marktleiter (m/w/d),Sales,"['store', 'manager']"
Kaufmann für Büromanagement (m/w/d) mit Schwerpunkt IT-Betreuung,IT,"['office', 'management', 'clerk', 'focus', 'information', 'technology', 'support']"
Customer Service Representative (m/w/d),Sales,"['customer', 'service', 'representative']"
"Mitarbeiter Veranstaltungsmarketing, Schwerpunkt Digital/Dialog (m/w/d)",Marketing and Communication,"['event', 'marketing', 'employee', 'focus', 'digital', 'dialogue']"
Business Analyst HR IT Systeme (w/m/d),IT,"['business', 'analyst', 'human', 'resource', 'information', 'technology', 'system']"
Sales Manager M/W/D für den Bereich Antriebstechnik B2B,Sales,"['sale', 'manager', 'drive', 'technology', 'business', 'business']"
Customer Care Supervisor (m/w/d) - Elternzeitvertretung,Sales,"['customer', 'care', 'supervisor', 'parental', 'leave', 'replacement']"
"Praktika und Abschlussarbeiten für Ingenieure, Informatiker, Mathematiker, Naturwissenschaftler im Bereich Medizintechnik",IT,"['internship', 'thesis', 'engineer', 'computer', 'scientist', 'mathematician', 'natural', 'scientist', 'field', 'medical', 'technology']"
Software Engineer (m/w/d) für die Entwicklung unserer Transport- und Warehouselösungen,IT,"['software', 'engineer', 'development', 'transport', 'warehouse', 'solution']"
Student Assistant for Media Office at the World Health Summit,Marketing and Communication,"['student', 'assistant', 'medium', 'office', 'world', 'health', 'summit']"
Account Manager* – Technischer Vertrieb,Sales,"['account', 'manager', 'technical', 'sale']"
Vertriebsassistenz (m/w/x),Sales,"['sale', 'assistant']"
Verkäufer im Außendienst (m/w/d) Technischer Vertrieb,Sales,"['technical', 'sale', 'representative', 'field']"
Systemadministrator (m/w/d),IT,"['system', 'administrator']"
Business Analyst (m/w/d) für digitale Anwendungen,IT,"['business', 'analyst', 'digital', 'application']"
Werkstudent (m/w/d) für kaufmännische Tätigkeiten,Sales,"['working', 'student', 'commercial', 'activity']"
C++ Developer (m/w/d),IT,"['c', '++', 'developer']"
Praktikum Inhouse Consulting,IT,"['internship', 'inhouse', 'consulting']"
(Junior) Business Data / Business Intelligence Analyst (w/m/d),IT,"['business', 'data', 'business', 'intelligence', 'analyst']"
Kaufmännische/r Mitarbeiter/In für den Bereich Billing,Sales,"['commercial', 'employee', 'billing']"
Working student Data Analysis (d/f/m),IT,"['working', 'student', 'data', 'analysis']"
Referent Online Marketing - SEO/SEA (w/m/d),Marketing and Communication,"['online', 'marketing', 'consultant', 'search', 'engine', 'optimization', 'sea']"
